ven_Vendedor_int_PK,QTD_ICE_PRECO,QTD_P_ULTRA_PRECO,QTD_ACAO_ULTRACRYSTAL
1000413,2,61,63
1000360,48,5,53
1000527,8,28,36
1000443,30,,30
1000219,25,1,26
1000461,17,,17
1000241,16,,16
1000459,11,5,16
1000718,6,10,16
1000383,,15,15
1000606,2,13,15
1000847,13,,13
1000368,,12,12
1000580,3,8,11
1000444,10,,10
1000141,,9,9
1000500,,9,9
1000658,,9,9
1000307,,8,8
1000312,,8,8
1000848,3,5,8
1000248,7,,7
1000836,1,6,7
1000394,,6,6
1000466,,6,6
1000547,,6,6
1000603,0,6,6
1000865,2,4,6
,5,,5
1000601,,5,5
1000695,,5,5
1000726,5,,5
1000852,,5,5
1000175,1,3,4
1000375,,4,4
1000543,,3,3
1000584,3,,3
1000729,,3,3
1000731,2,1,3
1000829,,3,3
1000273,2,,2
1000434,2,,2
1000635,,2,2
1000851,1,1,2
1000256,1,,1
1000346,1,,1
1000371,,1,1
1000451,1,,1
1000468,1,,1
1000602,,1,1
1000714,1,,1
1000721,1,,1
1000724,1,,1
1000730,1,,1
1000998,1,,1
1000900,0,,0
